company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_mins,arrival_delay_mins,norm_departure_delay,norm_arrival_delay,norm_ground_time,carrier_adjustment,flight_difficulty_score
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04 21:04:00+00:00,2025-08-04 18:04:00+00:00,2025-08-04 20:52:00+00:00,76,ERJ-175,Express,42,34,34,7.0,-12.0,0.344149459193707,-0.5994005994005994,0.05100969184144988,5,5.0
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,Mainline,235,229,145,22.0,-14.0,1.0816125860373649,-0.6993006993006993,0.3435652774027065,0,0.0
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,Mainline,76,69,51,111.0,111.0,5.457227138643068,5.544455544455545,0.10351966873706005,0,3.0
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06 21:04:00+00:00,2025-08-06 20:05:00+00:00,2025-08-06 22:42:00+00:00,50,CRJ-200,Express,223,38,29,105.0,98.0,5.162241887905605,4.895104895104895,0.057010832058091036,5,8.0
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,Mainline,75,72,51,-4.0,20.0,-0.19665683382497542,0.999000999000999,0.10802052389954091,0,0.0
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07 10:56:00+00:00,2025-08-07 08:36:00+00:00,2025-08-07 10:43:00+00:00,76,ERJ-175,Express,49,44,34,-4.0,-13.0,-0.19665683382497542,-0.6493506493506493,0.06601254238305278,5,5.0
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,Mainline,54,41,43,28.0,35.0,1.376597836774828,1.7482517482517483,0.06151168722057191,0,1.0
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,Mainline,123,134,66,-1.0,-15.0,-0.049164208456243856,-0.7492507492507493,0.20103819725747893,0,-0.0
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,Mainline,365,407,155,25.0,6.0,1.2291052114060963,0.2997002997002997,0.6106160170432382,0,1.0
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,Mainline,90,126,65,10.0,12.0,0.4916420845624385,0.5994005994005994,0.1890359168241966,0,0.0
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14 11:08:00+00:00,2025-08-14 09:11:00+00:00,2025-08-14 10:44:00+00:00,179,B737-MAX9,Mainline,94,85,56,-4.0,-24.0,-0.19665683382497542,-1.1988011988011988,0.1275242296036247,0,-0.0
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08 14:34:00+00:00,2025-08-08 10:59:00+00:00,2025-08-08 14:11:00+00:00,126,B737-700,Mainline,100,108,43,-6.0,-23.0,-0.2949852507374631,-1.1488511488511488,0.16203078584931138,0,-0.0
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02 21:20:00+00:00,2025-08-02 19:00:00+00:00,2025-08-02 22:10:00+00:00,166,B737-800,Mainline,63,55,51,60.0,50.0,2.949852507374631,2.4975024975024978,0.08251567797881598,0,2.0
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14 20:38:00+00:00,2025-08-14 19:41:00+00:00,2025-08-14 21:46:00+00:00,50,CRJ-550,Express,132,124,29,86.0,68.0,4.2281219272369714,3.3966033966033966,0.18603534671587602,5,7.0
